series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,639431,HYPERCAR-03,6,6,391,86292.14180413625,37,2566.1862964950674,587.2,18,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,639431,HYPERCAR-03,6,6,391,86292.14180413625,37,2566.1862964950674,587.2,18,0,0,0.0,0,0.0
wec,Le Mans 24 2026,track_position,HYPERCAR,5,639431,HYPERCAR-03,4,4,392,86263.99731433402,38,2602.858508173419,584.0,17,2,1,28.144489802230964,1,-36.67221167835169
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,639431,HYPERCAR-03,6,6,391,86281.05781126529,38,2561.0411863637473,584.8000000000001,18,0,0,11.083992870961083,1,5.1451101313200525
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,639431,HYPERCAR-03,7,7,391,86275.81512127601,37,2566.1862964950674,578.4000000000001,18,-1,0,16.32668286023545,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,639431,HYPERCAR-03,5,5,391,86280.75265202016,42,2610.846094411421,600.8000000000001,17,1,0,11.389152116084006,5,-44.659797916353455
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,497127,HYPERCAR-17,7,7,395,86301.46712689978,38,2796.288335351214,540.0,8,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,497127,HYPERCAR-17,7,7,395,86301.46712689978,38,2796.288335351214,540.0,8,0,0,0.0,0,0.0
wec,Le Mans 24 2026,track_position,HYPERCAR,5,497127,HYPERCAR-17,6,6,395,86316.51079590459,38,2822.157143351214,492.00000000000006,7,1,0,-15.04366900480818,0,-25.868808000000172
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,497127,HYPERCAR-17,7,7,395,86165.5239703339,39,2780.680806486514,544.0,7,0,0,135.94315656587423,1,15.607528864699816
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,497127,HYPERCAR-17,7,7,395,86301.46712689978,38,2796.288335351214,540.0,8,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,497127,HYPERCAR-17,6,6,395,86316.51079590459,38,2822.157143351214,492.00000000000006,7,1,0,-15.04366900480818,0,-25.868808000000172
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,737684,HYPERCAR-04,3,3,381,86277.12222125528,35,2522.682514297261,504.00000000000006,36,0,0,0.0,0,0.0
